gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,ENTREZID
IPO5,5.17E-56,0.319647651,0.846,0.588,1.16E-51,IM,3843
DDX18,1.09E-55,0.339927567,0.905,0.778,2.44E-51,IM,8886
DDX18,1.10E-52,0.3126783,0.926,0.779,2.45E-48,Myeloid,8886
BZW1,1.60E-55,0.339892991,0.909,0.789,3.59E-51,IM,9689
ICAM2,1.86E-55,0.297510555,0.853,0.647,4.16E-51,IM,3384
ICAM2,5.26E-143,0.550861747,0.911,0.619,1.18E-138,EMP-pre-MC,3384
KHDRBS1,2.77E-55,0.33001618,0.922,0.845,6.20E-51,IM,10657
TRA2B,3.81E-55,0.3642575,0.927,0.81,8.53E-51,IM,6434
MRPL1,7.32E-55,0.281024112,0.805,0.552,1.64E-50,IM,65008
MDH1,7.46E-55,0.285114723,0.862,0.657,1.67E-50,IM,4190
MYBL2,9.63E-55,0.313832947,0.737,0.458,2.15E-50,IM,4605
MCM7,1.27E-54,0.349220251,0.833,0.598,2.84E-50,IM,4176
SPC25,1.29E-54,0.33554849,0.62,0.332,2.88E-50,IM,57405
SF3A3,1.32E-54,0.274311616,0.799,0.532,2.95E-50,IM,10946
NOB1,1.33E-54,0.250537292,0.808,0.555,2.97E-50,IM,28987
C7orf50,1.41E-54,0.305367072,0.872,0.679,3.17E-50,IM,84310
SRSF7,1.94E-54,0.350029116,0.937,0.857,4.35E-50,IM,6432
TAGLN,2.24E-54,0.405889098,0.604,0.336,5.01E-50,IM,6876
LAMTOR5,3.76E-54,0.2689538,0.918,0.912,8.41E-50,IM,10542
FKBP11,4.64E-54,0.256170447,0.571,0.288,1.04E-49,IM,51303
WDR45B,4.97E-54,0.276497116,0.806,0.585,1.11E-49,IM,56270
ACTL6A,6.10E-54,0.253649936,0.714,0.427,1.37E-49,IM,86
ATP5F1C,1.06E-53,0.259694789,0.913,0.911,2.38E-49,IM,509
CDKN1C,1.41E-53,0.300682422,0.858,0.611,3.15E-49,IM,1028
CDKN1C,1.39E-40,0.447162807,0.753,0.618,3.11E-36,EMP-pre-MC,1028
MAD2L1,2.26E-53,0.351142273,0.784,0.54,5.05E-49,IM,4085
CTNNB1,1.21E-52,0.451942458,0.859,0.631,2.71E-48,IM,1499
UBE2I,1.56E-52,0.268009833,0.922,0.892,3.49E-48,IM,7329
EEF1E1,2.28E-52,0.300814886,0.872,0.7,5.10E-48,IM,9521
TMEM14C,3.01E-52,0.345894777,0.902,0.898,6.74E-48,IM,51522
TMEM14C,1.35E-48,0.322341522,0.88,0.906,3.03E-44,EMP,51522
BUD31,3.77E-52,0.267296336,0.884,0.796,8.43E-48,IM,8896
DDB1,4.22E-52,0.324540332,0.812,0.562,9.45E-48,IM,1642
COPZ1,5.11E-52,0.257597425,0.812,0.619,1.14E-47,IM,22818
HSPA8,6.35E-52,0.356280303,0.969,0.962,1.42E-47,IM,3312
UQCC2,7.97E-52,0.258440176,0.921,0.862,1.78E-47,IM,84300
BCAP31,8.13E-52,0.262514577,0.86,0.731,1.82E-47,IM,10134
AHSA1,1.58E-51,0.251885113,0.833,0.63,3.54E-47,IM,10598
MRPL50,4.98E-51,0.260584409,0.791,0.557,1.11E-46,IM,54534
ANP32E,6.03E-51,0.316286236,0.875,0.651,1.35E-46,IM,81611
GDI2,8.57E-51,0.284085855,0.9,0.82,1.92E-46,IM,2665
TECR,8.63E-51,0.284146278,0.856,0.696,1.93E-46,IM,9524
BCAT1,1.16E-50,0.297587143,0.809,0.549,2.59E-46,IM,586
NOLC1,2.01E-50,0.264340041,0.806,0.54,4.49E-46,IM,9221
HSPA5,1.07E-52,0.497091325,0.902,0.752,2.38E-48,Myeloid,3309
HSPA5,3.99E-50,0.410541711,0.897,0.748,8.93E-46,IM,3309
TUBB4B,4.76E-50,0.41813077,0.928,0.802,1.07E-45,IM,10383
TUBB4B,1.97E-30,0.285299616,0.828,0.815,4.40E-26,EMP,10383
SPIN4,1.13E-49,0.255965185,0.524,0.259,2.54E-45,IM,139886
PRKCSH,4.01E-49,0.271346394,0.834,0.613,8.97E-45,IM,5589
NUCKS1,8.00E-49,0.285714774,0.949,0.927,1.79E-44,IM,64710
MRPL24,1.03E-48,0.263647025,0.787,0.545,2.31E-44,IM,79590
SF3B1,1.11E-48,0.350296686,0.86,0.657,2.48E-44,IM,23451
MSMO1,2.34E-48,0.250966487,0.605,0.328,5.24E-44,IM,6307
EIF4H,7.69E-48,0.286640861,0.902,0.794,1.72E-43,IM,7458
MBOAT7,9.62E-48,0.253588909,0.695,0.407,2.15E-43,IM,79143
DHX9,1.21E-47,0.35371683,0.847,0.628,2.71E-43,IM,1660
CSNK2A1,1.55E-47,0.258114712,0.843,0.631,3.47E-43,IM,1457
GLUL,1.58E-47,0.291512974,0.891,0.795,3.55E-43,IM,2752
CARHSP1,2.88E-25,0.266333345,0.683,0.623,6.43E-21,EMP,23589
CARHSP1,1.87E-47,0.300525698,0.849,0.608,4.19E-43,IM,23589
MRPS7,2.18E-47,0.250640102,0.86,0.752,4.88E-43,IM,51081
AURKB,2.30E-47,0.354145965,0.64,0.386,5.16E-43,IM,9212
CFDP1,6.02E-47,0.251378719,0.86,0.673,1.35E-42,IM,10428
MLF2,1.01E-46,0.251065154,0.844,0.716,2.25E-42,IM,8079
CCNB1IP1,1.20E-46,0.254351122,0.824,0.652,2.69E-42,IM,57820
ARID3A,1.40E-46,0.349819897,0.893,0.752,3.13E-42,IM,1820
MRPL3,1.52E-46,0.307816653,0.841,0.671,3.40E-42,IM,11222
AIMP1,1.73E-46,0.262465371,0.821,0.609,3.88E-42,IM,9255
MRPL9,2.02E-46,0.259511338,0.83,0.694,4.53E-42,IM,65005
BCL7C,5.37E-46,0.262163842,0.828,0.64,1.20E-41,IM,9274
EIF3M,1.13E-45,0.27525374,0.927,0.856,2.54E-41,IM,10480
SMARCC1,2.14E-45,0.281500576,0.875,0.717,4.78E-41,IM,6599
PSMD2,5.99E-45,0.254160323,0.88,0.726,1.34E-40,IM,5708
ATP5PB,6.26E-45,0.267551975,0.918,0.872,1.40E-40,IM,515
POLR2B,6.44E-45,0.266507573,0.736,0.476,1.44E-40,IM,5431
TRA2A,2.17E-44,0.269150654,0.836,0.65,4.85E-40,IM,29896
RBMX,2.59E-55,0.284513251,0.968,0.852,5.79E-51,MPP-pre-MC,27316
RBMX,3.44E-44,0.276302324,0.931,0.859,7.70E-40,IM,27316
ZC3H15,4.94E-44,0.272916663,0.912,0.842,1.11E-39,IM,55854
AHCY,1.62E-43,0.256551105,0.862,0.711,3.63E-39,IM,191
AHCY,4.20E-79,0.301988806,0.93,0.698,9.40E-75,MPP-pre-MC,191
PSMD6,1.71E-43,0.260201069,0.814,0.63,3.82E-39,IM,9861
EZR,2.38E-43,0.264650604,0.626,0.34,5.33E-39,IM,7430
PSMD1,3.24E-43,0.305057636,0.827,0.617,7.25E-39,IM,5707
GAR1,3.90E-43,0.269863665,0.791,0.555,8.73E-39,IM,54433
C19orf48,4.70E-43,0.259469584,0.855,0.684,1.05E-38,IM,84798
PPP1R14B,7.52E-43,0.266922834,0.912,0.872,1.68E-38,IM,26472
BTG1,7.56E-43,0.286382102,0.84,0.656,1.69E-38,IM,694
SUPT16H,8.53E-43,0.332181777,0.881,0.695,1.91E-38,IM,11198
CDC20,3.65E-42,0.310330202,0.721,0.479,8.17E-38,IM,991
DDOST,3.97E-42,0.250912341,0.808,0.65,8.89E-38,IM,1650
DHX15,6.48E-41,0.260325502,0.769,0.528,1.45E-36,IM,1665
YBX3,7.40E-41,0.25616494,0.905,0.819,1.66E-36,IM,8531
YBX3,3.13E-41,0.314280344,0.917,0.821,7.01E-37,Myeloid,8531
SET,1.18E-40,0.261106888,0.962,0.936,2.63E-36,IM,6418
UQCRC1,1.20E-40,0.278206695,0.89,0.759,2.69E-36,IM,7384
EIF4A2,1.93E-40,0.288304057,0.935,0.872,4.33E-36,IM,1974
GRSF1,2.56E-40,0.267209017,0.818,0.636,5.73E-36,IM,2926
WBP11,2.03E-39,0.255830862,0.844,0.622,4.55E-35,IM,51729
DYNC1H1,4.30E-39,0.337430856,0.794,0.579,9.63E-35,IM,1778
OGA,7.08E-39,0.250804726,0.659,0.402,1.59E-34,IM,10724
MYL4,2.72E-38,0.250855991,0.913,0.779,6.10E-34,IM,4635
MYL4,1.38E-97,0.452391027,0.922,0.749,3.09E-93,EMP,4635
MYL4,1.59E-84,0.488036752,0.953,0.761,3.57E-80,EMP-pre-MC,4635
RRBP1,4.53E-38,0.255575181,0.797,0.572,1.01E-33,IM,6238
SNHG7,5.15E-38,0.255787447,0.834,0.708,1.15E-33,IM,84973
RNPS1,7.27E-38,0.255575991,0.906,0.825,1.63E-33,IM,10921
MALSU1,7.94E-38,0.267837209,0.781,0.565,1.78E-33,IM,115416
ARL6IP1,1.34E-37,0.282402246,0.843,0.661,3.01E-33,IM,23204
PABPC4,1.51E-37,0.259845948,0.862,0.665,3.37E-33,IM,8761
DKC1,2.66E-37,0.280912852,0.865,0.714,5.95E-33,IM,1736
EIF5B,3.65E-37,0.341091024,0.944,0.868,8.17E-33,IM,9669
PRDX3,4.13E-37,0.25907712,0.872,0.757,9.25E-33,IM,10935
MT1X,1.51E-36,0.304260013,0.621,0.356,3.37E-32,IM,4501
MT1X,2.33E-57,0.318694028,0.698,0.356,5.22E-53,Myeloid,4501
MT1X,2.03E-59,0.272865734,0.656,0.348,4.55E-55,MPP-pre-MC,4501
CEBPZ,2.49E-36,0.269358839,0.777,0.559,5.57E-32,IM,10153
PRPF40A,2.50E-36,0.26875749,0.9,0.825,5.59E-32,IM,55660
SFPQ,2.75E-36,0.297564001,0.919,0.85,6.16E-32,IM,6421
RBM25,1.36E-35,0.279490461,0.896,0.783,3.04E-31,IM,58517
HMGCS1,2.34E-35,0.290691238,0.659,0.434,5.24E-31,IM,3157
EWSR1,1.56E-34,0.250289304,0.887,0.794,3.49E-30,IM,2130
RBM39,2.56E-34,0.275779658,0.937,0.883,5.73E-30,IM,9584
CKS1B,1.02E-57,0.34178536,0.856,0.843,2.28E-53,EMP,1163
CKS1B,3.09E-33,0.300307594,0.905,0.837,6.93E-29,IM,1163
CBX5,9.09E-32,0.256573748,0.881,0.727,2.03E-27,IM,23468
HNRNPR,9.43E-32,0.263006146,0.91,0.805,2.11E-27,IM,10236
KTN1,1.14E-31,0.259385306,0.916,0.809,2.56E-27,IM,3895
CELF1,1.65E-31,0.257146676,0.825,0.634,3.69E-27,IM,10658
PTN,1.26E-30,0.32244503,0.278,0.11,2.82E-26,IM,5764
RPL22L1,3.72E-30,0.276752782,0.949,0.907,8.33E-26,IM,200916
RPL22L1,2.10E-64,0.404739421,0.985,0.905,4.69E-60,Myeloid,200916
RPL22L1,1.50E-75,0.358521665,0.989,0.9,3.35E-71,MPP-pre-MC,200916
EIF3A,1.87E-29,0.284113737,0.903,0.812,4.18E-25,IM,8661
HNRNPH1,1.07E-28,0.309810234,0.916,0.833,2.39E-24,IM,3187
PARP1,2.19E-27,0.26490505,0.925,0.786,4.91E-23,IM,142
HMGB2,2.22E-24,0.310621686,0.949,0.868,4.98E-20,IM,3148
HMGB2,3.86E-107,0.584380136,0.905,0.869,8.63E-103,EMP,3148
SMC3,1.56E-22,0.27232136,0.819,0.655,3.50E-18,IM,9126
WSB1,1.55E-20,0.271219262,0.85,0.703,3.46E-16,IM,26118
ANKRD11,1.97E-19,0.279007193,0.884,0.783,4.41E-15,IM,29123
KRT8,4.32E-19,0.308749354,0.86,0.764,9.66E-15,IM,3856
PCNA,2.57E-37,0.265744017,0.719,0.64,5.75E-33,EMP,5111
PCNA,2.76E-15,0.261812686,0.786,0.643,6.17E-11,IM,5111
SON,1.51E-14,0.275776882,0.93,0.88,3.38E-10,IM,6651
CENPF,4.93E-13,0.304153472,0.746,0.564,1.10E-08,IM,1063
CENPF,1.58E-37,0.327924878,0.66,0.56,3.54E-33,EMP,1063
SLC40A1,2.13E-164,0.745536986,0.754,0.338,4.77E-160,HE,30061
CD164,1.29E-122,0.472725506,0.96,0.835,2.90E-118,MPP-pre-MC,8763
CD164,2.85E-84,0.530405897,0.876,0.849,6.38E-80,HE,8763
RAC2,8.95E-82,0.471287556,0.826,0.641,2.00E-77,HE,5880
RAC2,3.86E-78,0.282861801,0.93,0.627,8.63E-74,MPP-pre-MC,5880
ARHGDIB,6.30E-72,0.340604131,0.95,0.939,1.41E-67,HE,397
ARHGDIB,2.89E-31,0.279597846,0.992,0.935,6.47E-27,Myeloid,397
ARHGDIB,6.33E-96,0.347306849,0.984,0.934,1.42E-91,MPP-pre-MC,397
SERPINB1,1.82E-69,0.532197581,0.876,0.811,4.07E-65,HE,1992
TYROBP,2.82E-68,0.447778569,0.841,0.626,6.30E-64,HE,7305
TYROBP,1.44E-50,0.447382221,0.955,0.626,3.23E-46,Myeloid,7305
TYROBP,2.19E-84,0.382645435,0.944,0.613,4.89E-80,MPP-pre-MC,7305
DBI,1.21E-42,0.257847554,0.979,0.914,2.70E-38,MPP-pre-MC,1622
DBI,4.33E-64,0.463407545,0.942,0.92,9.68E-60,HE,1622
CTTNBP2,2.08E-63,0.258361597,0.502,0.228,4.65E-59,HE,83992
AIF1,5.32E-172,0.68942091,0.977,0.644,1.19E-167,MPP-pre-MC,199
AIF1,1.78E-141,0.815944773,0.994,0.657,3.98E-137,Myeloid,199
AIF1,2.59E-61,0.443204462,0.881,0.656,5.80E-57,HE,199
GALC,2.29E-59,0.320286108,0.616,0.384,5.13E-55,HE,2581
TMEM164,4.55E-55,0.275796594,0.56,0.323,1.02E-50,HE,84187
MYCN,1.28E-48,0.253621081,0.566,0.321,2.86E-44,HE,4613
MYCN,4.28E-170,0.432087395,0.788,0.288,9.57E-166,MPP-pre-MC,4613
BAALC,8.03E-48,0.293321251,0.576,0.317,1.80E-43,HE,79870
BAALC,2.42E-107,0.290086004,0.721,0.298,5.41E-103,MPP-pre-MC,79870
HBD,3.21E-47,0.332781841,0.928,0.777,7.19E-43,HE,3045
HBD,3.21E-47,0.332781841,0.928,0.777,7.19E-43,HE,100187828
HBD,1.79E-103,0.516113843,0.932,0.75,4.00E-99,EMP,3045
HBD,1.79E-103,0.516113843,0.932,0.75,4.00E-99,EMP,100187828
HBD,5.02E-103,0.95368651,0.959,0.764,1.12E-98,EMP-pre-MC,3045
HBD,5.02E-103,0.95368651,0.959,0.764,1.12E-98,EMP-pre-MC,100187828
GMPR,9.95E-117,0.416707513,0.944,0.666,2.23E-112,EMP-pre-MC,2766
GMPR,1.48E-43,0.428697986,0.844,0.696,3.31E-39,HE,2766
SPN,3.00E-42,0.289650479,0.771,0.672,6.71E-38,HE,6693
COL2A1,1.36E-38,0.291921965,0.476,0.269,3.05E-34,HE,1280
CD7,1.60E-102,0.338481835,0.666,0.278,3.58E-98,MPP-pre-MC,924
CD7,1.44E-38,0.26394818,0.506,0.301,3.22E-34,HE,924
CST3,3.46E-37,0.255921513,0.879,0.903,7.74E-33,HE,1471
CITED2,3.96E-35,0.369801054,0.882,0.891,8.85E-31,HE,10370
CITED2,1.59E-104,0.47760204,0.97,0.871,3.56E-100,EMP-pre-MC,10370
LMO4,8.43E-34,0.841066783,0.716,0.61,1.89E-29,HE,8543
ZFAS1,1.24E-27,0.255892439,0.905,0.922,2.79E-23,HE,441951
ZFAS1,1.26E-113,0.376320939,0.968,0.912,2.82E-109,MPP-pre-MC,441951
SMYD3,1.38E-265,0.755331916,0.937,0.415,3.09E-261,MPP-pre-MC,64754
SMYD3,2.21E-24,0.260460561,0.618,0.465,4.93E-20,HE,64754
OAZ2,1.30E-21,0.292779542,0.729,0.649,2.91E-17,HE,4947
SOX4,1.39E-21,0.489909746,0.755,0.652,3.11E-17,HE,6659
SOX4,2.97E-88,0.468913264,0.919,0.626,6.64E-84,MPP-pre-MC,6659
HBG2,2.61E-268,1.322981729,0.999,0.834,5.85E-264,EMP,3048
HBG2,3.43E-124,0.866028616,1,0.852,7.67E-120,EMP-pre-MC,3048
HBA1,6.04E-147,0.840391082,1,0.85,1.35E-142,EMP-pre-MC,3039
HBA1,1.01E-264,1.262327839,1,0.832,2.25E-260,EMP,3039
HBE1,5.58E-86,0.575016733,0.999,0.86,1.25E-81,EMP-pre-MC,3046
HBE1,1.76E-232,1.449340139,0.999,0.843,3.93E-228,EMP,3046
FTH1,2.55E-230,0.565108955,0.999,0.995,5.71E-226,EMP,2495
FTH1,1.48E-206,0.677270043,0.999,0.996,3.31E-202,EMP-pre-MC,2495
HBA2,8.88E-68,0.655568856,0.998,0.833,1.99E-63,EMP-pre-MC,3040
HBA2,1.09E-208,1.306454023,0.992,0.815,2.44E-204,EMP,3040
UBE2C,6.52E-176,1.068695761,0.871,0.759,1.46E-171,EMP,11065
BLVRB,1.92E-172,0.944721582,0.866,0.727,4.29E-168,EMP,645
HBG1,1.13E-82,0.385464018,0.662,0.344,2.54E-78,EMP-pre-MC,3047
HBG1,8.99E-166,0.877100242,0.662,0.306,2.01E-161,EMP,3047
ALAS2,3.80E-145,0.982484373,0.683,0.399,8.51E-141,EMP,212
ALAS2,1.13E-17,0.317449646,0.582,0.453,2.52E-13,EMP-pre-MC,212
RAP1B,9.27E-141,0.512236714,0.981,0.949,2.07E-136,EMP,5908
RAP1B,0,1.080738033,1,0.948,0,EMP-pre-MC,5908
SNCA,2.71E-288,0.980150029,0.997,0.834,6.06E-284,EMP-pre-MC,6622
SNCA,8.35E-138,0.467798219,0.935,0.838,1.87E-133,EMP,6622
HBQ1,2.42E-230,0.694705206,0.91,0.413,5.41E-226,EMP-pre-MC,3049
HBQ1,9.77E-136,0.567951977,0.74,0.418,2.19E-131,EMP,3049
PTMA,1.50E-134,0.332426071,1,0.999,3.36E-130,EMP,5757
HBZ,1.10E-131,0.979467245,0.994,0.816,2.45E-127,EMP,3050
TAGLN2,1.81E-172,0.512699094,0.996,0.955,4.05E-168,EMP-pre-MC,8407
TAGLN2,1.69E-125,0.404528533,0.964,0.962,3.79E-121,EMP,8407
TUBB1,8.25E-124,0.341101656,0.764,0.372,1.85E-119,EMP,81027
TUBB1,0,1.010188207,0.957,0.37,0,EMP-pre-MC,81027
GNG5,4.41E-110,0.279879964,0.946,0.966,9.87E-106,EMP,2787
PLEK,7.21E-287,1.010752033,0.994,0.691,1.61E-282,EMP-pre-MC,5341
PLEK,2.95E-109,0.501590517,0.914,0.686,6.61E-105,EMP,5341
DLK1,1.73E-105,0.603679354,0.877,0.795,3.86E-101,EMP,8788
DLK1,1.44E-32,0.292812313,0.932,0.791,3.23E-28,EMP-pre-MC,8788
CCND3,1.40E-239,0.740315683,0.992,0.877,3.13E-235,EMP-pre-MC,896
CCND3,5.90E-102,0.379484675,0.917,0.891,1.32E-97,EMP,896
RRM2,9.75E-100,0.49110248,0.703,0.518,2.18E-95,EMP,6241
S100A6,6.56E-38,0.451129552,0.939,0.89,1.47E-33,EMP-pre-MC,6277
S100A6,1.95E-99,0.524598675,0.931,0.887,4.37E-95,EMP,6277
GATA1,2.49E-210,0.623815513,0.967,0.584,5.57E-206,EMP-pre-MC,2623
GATA1,3.57E-98,0.425080489,0.828,0.591,8.00E-94,EMP,2623
DMTN,8.57E-264,0.639009884,0.876,0.325,1.92E-259,EMP-pre-MC,2039
DMTN,3.32E-96,0.350194732,0.656,0.342,7.42E-92,EMP,2039
HMGN1,2.29E-95,0.276886881,0.977,0.979,5.13E-91,EMP,3150
HMGN1,3.35E-76,0.37641488,0.996,0.975,7.51E-72,EMP-pre-MC,3150
KLHDC8B,2.68E-95,0.418238696,0.744,0.511,6.00E-91,EMP,200942
KLHDC8B,1.25E-183,0.589043128,0.893,0.501,2.81E-179,EMP-pre-MC,200942
PDLIM1,2.45E-219,0.641893291,0.997,0.907,5.48E-215,EMP-pre-MC,9124
PDLIM1,9.90E-95,0.383315037,0.943,0.917,2.22E-90,EMP,9124
TMSB4X,2.49E-94,0.326238205,1,0.998,5.58E-90,EMP,7114
TMSB4X,2.13E-288,1.087334479,1,0.998,4.76E-284,EMP-pre-MC,7114
EMP3,4.26E-88,0.417509642,0.973,0.822,9.54E-84,EMP-pre-MC,2014
EMP3,3.45E-94,0.441412155,0.885,0.838,7.71E-90,EMP,2014
FERMT3,1.81E-91,0.419496595,0.894,0.787,4.06E-87,EMP,83706
FERMT3,1.28E-265,0.819528729,0.994,0.775,2.87E-261,EMP-pre-MC,83706
NAA38,8.92E-109,0.427094473,0.989,0.933,2.00E-104,EMP-pre-MC,84316
NAA38,3.24E-88,0.333059856,0.923,0.952,7.26E-84,EMP,84316
CMTM5,4.70E-307,1.054654248,0.988,0.601,1.05E-302,EMP-pre-MC,116173
CMTM5,5.37E-84,0.381442516,0.822,0.617,1.20E-79,EMP,116173
CAVIN2,2.78E-277,1.014189807,0.959,0.564,6.23E-273,EMP-pre-MC,8436
CAVIN2,2.44E-81,0.33731491,0.82,0.569,5.46E-77,EMP,8436
UROD,3.38E-79,0.418034581,0.867,0.825,7.56E-75,EMP,7389
SMIM1,2.17E-157,0.528249953,0.921,0.679,4.86E-153,EMP-pre-MC,388588
SMIM1,1.01E-77,0.367771833,0.812,0.691,2.25E-73,EMP,388588
PRKAR2B,2.90E-77,0.345968632,0.862,0.697,6.49E-73,EMP,5577
PRKAR2B,1.85E-300,0.964862587,0.987,0.686,4.13E-296,EMP-pre-MC,5577
PRDX6,1.19E-81,0.369594633,0.992,0.956,2.66E-77,EMP-pre-MC,9588
PRDX6,3.03E-76,0.398107148,0.96,0.964,6.78E-72,EMP,9588
CDKN3,3.59E-76,0.452607244,0.64,0.463,8.04E-72,EMP,1033
PCLAF,6.45E-42,0.302959078,0.979,0.844,1.44E-37,Myeloid,9768
PCLAF,1.22E-74,0.341450587,0.882,0.849,2.74E-70,EMP,9768
DUT,1.88E-74,0.346196592,0.892,0.914,4.21E-70,EMP,1854
CYTOR,4.27E-73,0.312864055,0.905,0.894,9.56E-69,EMP,112597
CYTOR,8.16E-175,0.54384507,0.985,0.877,1.83E-170,EMP-pre-MC,112597
TYMS,5.16E-71,0.384909333,0.795,0.707,1.16E-66,EMP,7298
NUSAP1,2.28E-70,0.394152575,0.6,0.403,5.11E-66,EMP,51203
RNASE1,6.81E-31,0.271815188,0.513,0.339,1.52E-26,EMP-pre-MC,6035
RNASE1,6.99E-70,0.478157983,0.527,0.313,1.56E-65,EMP,6035
CHST2,2.85E-69,0.257200548,0.498,0.269,6.38E-65,EMP,9435
CNRIP1,2.88E-68,0.469771421,0.571,0.382,6.45E-64,EMP,25927
GP9,4.37E-68,0.27633902,0.763,0.519,9.78E-64,EMP,2815
GP9,1.85E-305,1.146510783,0.96,0.499,4.13E-301,EMP-pre-MC,2815
UBE2T,9.09E-68,0.348388741,0.69,0.549,2.03E-63,EMP,29089
HBM,1.27E-63,0.792017407,0.404,0.207,2.83E-59,EMP,3042
CALD1,2.73E-211,1.009290011,0.936,0.679,6.12E-207,EMP-pre-MC,800
CALD1,1.38E-62,0.267170286,0.834,0.687,3.08E-58,EMP,800
CKS2,2.97E-62,0.480168899,0.884,0.917,6.65E-58,EMP,1164
ANP32B,8.37E-62,0.294728658,0.936,0.966,1.87E-57,EMP,10541
CDK1,1.51E-61,0.411166145,0.554,0.368,3.38E-57,EMP,983
TPM1,1.75E-61,0.294601706,0.868,0.793,3.92E-57,EMP,7168
TPM1,3.62E-212,0.865649112,0.965,0.778,8.10E-208,EMP-pre-MC,7168
RBPMS2,1.50E-60,0.306370925,0.629,0.443,3.37E-56,EMP,348093
RBPMS2,2.77E-93,0.390550923,0.721,0.442,6.20E-89,EMP-pre-MC,348093
ZWINT,3.32E-60,0.330301595,0.698,0.585,7.43E-56,EMP,11130
UCP2,2.30E-107,0.456785144,0.861,0.645,5.16E-103,EMP-pre-MC,7351
UCP2,4.66E-60,0.350215576,0.749,0.662,1.04E-55,EMP,7351
ARHGAP6,0,0.877093917,0.967,0.463,0,EMP-pre-MC,395
ARHGAP6,1.49E-58,0.250953158,0.748,0.485,3.34E-54,EMP,395
TNNI3,2.00E-129,0.671965982,0.531,0.186,4.48E-125,EMP-pre-MC,7137
TNNI3,2.17E-58,0.266111264,0.409,0.191,4.85E-54,EMP,7137
GNG11,7.68E-164,0.884034564,0.987,0.925,1.72E-159,EMP-pre-MC,2791
GNG11,3.18E-58,0.283653137,0.954,0.93,7.11E-54,EMP,2791
HINT2,7.00E-57,0.284864621,0.832,0.865,1.57E-52,EMP,84681
HTRA2,8.93E-57,0.316310311,0.743,0.682,2.00E-52,EMP,27429
DNAJC9,1.42E-56,0.311884553,0.802,0.811,3.18E-52,EMP,23234
RAD23A,1.17E-55,0.294131823,0.81,0.838,2.62E-51,EMP,5886
C2orf88,3.12E-55,0.318122373,0.801,0.733,6.98E-51,EMP,84281
C2orf88,1.02E-236,0.686643233,0.972,0.701,2.28E-232,EMP-pre-MC,84281
HEXIM1,3.34E-55,0.2907587,0.737,0.58,7.46E-51,EMP,10614
HEXIM1,2.66E-254,0.725689626,0.939,0.55,5.96E-250,EMP-pre-MC,10614
TMPO,5.87E-55,0.313077401,0.71,0.607,1.31E-50,EMP,7112
MKI67,5.96E-54,0.384729933,0.594,0.436,1.33E-49,EMP,4288
DEK,5.38E-53,0.274548166,0.816,0.821,1.20E-48,EMP,7913
SMC4,1.85E-52,0.313458576,0.729,0.642,4.14E-48,EMP,10051
HMGN2,2.46E-52,0.278035625,0.92,0.954,5.51E-48,EMP,3151
HMGN2,4.05E-57,0.354927241,0.987,0.94,9.07E-53,Myeloid,3151
ASF1B,3.30E-52,0.256066578,0.524,0.349,7.38E-48,EMP,55723
LXN,5.12E-31,0.262120392,0.599,0.441,1.14E-26,EMP-pre-MC,56925
LXN,4.31E-52,0.459722718,0.583,0.428,9.65E-48,EMP,56925
SKA2,1.06E-50,0.28826584,0.751,0.713,2.37E-46,EMP,348235
MTSS1,1.53E-47,0.277435255,0.714,0.594,3.42E-43,EMP,9788
MTSS1,3.32E-115,0.361477045,0.864,0.572,7.43E-111,EMP-pre-MC,9788
SVIP,1.71E-47,0.297006407,0.718,0.656,3.82E-43,EMP,258010
MEF2C,2.28E-47,0.276789489,0.854,0.757,5.10E-43,EMP,4208
MEF2C,1.15E-218,0.75779128,0.975,0.74,2.57E-214,EMP-pre-MC,4208
SLC37A1,2.09E-239,0.732134529,0.922,0.493,4.69E-235,EMP-pre-MC,54020
SLC37A1,4.95E-46,0.298030269,0.686,0.531,1.11E-41,EMP,54020
FAM210B,1.25E-114,0.381932628,0.815,0.527,2.80E-110,EMP-pre-MC,116151
FAM210B,8.79E-46,0.314023938,0.663,0.551,1.97E-41,EMP,116151
COX17,2.51E-45,0.273502339,0.847,0.874,5.63E-41,EMP,10063
TMEM14B,5.53E-45,0.265097217,0.853,0.912,1.24E-40,EMP,81853
GMNN,5.87E-45,0.278385305,0.718,0.613,1.31E-40,EMP,51053
CCNA2,9.50E-44,0.30426618,0.565,0.411,2.13E-39,EMP,890
TUBA4A,1.13E-191,0.778949973,0.748,0.307,2.53E-187,EMP-pre-MC,7277
TUBA4A,8.31E-43,0.332947019,0.527,0.338,1.86E-38,EMP,7277
CDKN2D,4.02E-225,0.826212487,0.885,0.475,8.99E-221,EMP-pre-MC,1032
CDKN2D,3.00E-42,0.334890458,0.646,0.517,6.71E-38,EMP,1032
APOBEC3C,2.05E-41,0.317926453,0.72,0.641,4.59E-37,EMP,27350
LRRFIP2,2.59E-171,0.509633221,0.893,0.609,5.80E-167,EMP-pre-MC,9209
LRRFIP2,8.18E-41,0.285535702,0.718,0.642,1.83E-36,EMP,9209
CACYBP,2.86E-40,0.293650067,0.83,0.848,6.41E-36,EMP,27101
CCDC28B,1.27E-39,0.280580104,0.743,0.695,2.85E-35,EMP,79140
